antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'Fate/Zero'}),frozenset({'Shingeki no Kyojin'}),0.19987696809483432,0.4055730127853426,0.141785957736878,0.7093661620362669,1.749046755267498,1.0,0.060721253600256236,2.0452779737534668,0.5352426792719476,0.3057946069994263,0.5110689046512277,0.5294801622676211
frozenset({'Darker than Black: Kuro no Keiyakusha'}),frozenset({'Code Geass: Hangyaku no Lelouch'}),0.2167689161554192,0.39218913661529253,0.15355711839326983,0.7083908574934806,1.8062480353410648,1.0,0.06854270432124322,2.0843340444002676,0.5699035559571073,0.33719104815450335,0.520230453133661,0.5499646432111093
frozenset({'One Punch Man'}),frozenset({'Death Note'}),0.18617719919530484,0.5460787736711723,0.13177714599231882,0.7078049651723523,1.296159087843552,1.0,0.03010972937021318,1.5534871309383294,0.28076107805243605,0.21945344297699146,0.35628691085713393,0.47456011692930294
frozenset({'Fullmetal Alchemist'}),frozenset({'Death Note'}),0.3445558381964188,0.5460787736711723,0.24380268342560726,0.7075854082223509,1.2957570268944967,1.0,0.05564805384206403,1.5523207086532387,0.34823771114363977,0.37691813391594914,0.3558032213152788,0.5770230283614419
frozenset({'Naruto'}),frozenset({'Death Note'}),0.3364423828287363,0.5460787736711723,0.23791710309741135,0.7071555643407788,1.2949698806029781,1.0,0.05419305927128795,1.5500421761711367,0.34327277913833465,0.3690902994506203,0.3548562643178089,0.5714191583311444
frozenset({'Another'}),frozenset({'Death Note'}),0.2681763013949158,0.5460787736711723,0.18950238582140422,0.706633601983881,1.2940140434929057,1.0,0.04305700002799792,1.5472843154446307,0.3104721264056591,0.3033238417116853,0.3537063679776021,0.5268287510604441
frozenset({'Kore wa Zombie Desu ka?'}),frozenset({'Sword Art Online'}),0.15561873410145144,0.3967280163599182,0.10994729579197632,0.706517094017094,1.7808600978059739,1.0,0.04820898410346593,2.055560890743052,0.5192838768889131,0.24852493517231006,0.5135147761842677,0.4918261440247233
frozenset({'Mirai Nikki (TV)'}),frozenset({'Sword Art Online'}),0.2933147122882272,0.3967280163599182,0.2064940894807721,0.7040018138533045,1.774520035949824,1.0,0.0901279255054836,2.038093515009253,0.6176261843591005,0.4270389217439141,0.5093453795737828,0.6122473238238109
frozenset({'Dragon Ball Z'}),frozenset({'Death Note'}),0.22361880060518396,0.5460787736711723,0.15741433487954512,0.7039405204460967,1.2890823712367598,1.0,0.03530085447524786,1.5332095665802945,0.288845714887894,0.25709397996035516,0.34777344089339157,0.49610178709167374
frozenset({'Fate/Zero 2nd Season'}),frozenset({'Code Geass: Hangyaku no Lelouch'}),0.17036593678820225,0.39218913661529253,0.1198563519377525,0.7035229823362935,1.7938359751825446,1.0,0.05304068228013195,2.0501112301195183,0.5334103913194678,0.2707402260863034,0.5122215881224642,0.504565764346323
frozenset({'Fate/stay night'}),frozenset({'Death Note'}),0.19532146241707815,0.5460787736711723,0.1372969557916438,0.7029281579843378,1.287228495000273,1.0,0.030636051123265798,1.527984689659332,0.2772997382484064,0.22727397825787807,0.34554318065650746,0.4771757550463629
frozenset({'Toaru Majutsu no Index'}),frozenset({'Toradora!'}),0.15011555023525697,0.3378555871448285,0.10547491977987264,0.702624875401484,2.079660370098571,1.0,0.054757542415570896,2.226630131720425,0.6108503983341068,0.27575415109101975,0.5508908346500543,0.5074071180806445
frozenset({'Tokyo Ghoul'}),frozenset({'Death Note'}),0.2375845844348014,0.5460787736711723,0.16689111676392837,0.7024492652204338,1.2863515285496554,1.0,0.03715121825259693,1.5255254760674852,0.29197668264394067,0.27058791816049815,0.3444881677244683,0.5040332792839877
frozenset({'Akame ga Kill!'}),frozenset({'Tokyo Ghoul'}),0.17029943305568024,0.2375845844348014,0.11960696294079505,0.7023333007907839,2.9561400309771364,1.0,0.07914644290877898,2.561305707325132,0.7975419784022577,0.41490282023184727,0.6095741335600515,0.6028811360496957
frozenset({'Kami nomi zo Shiru Sekai'}),frozenset({'Toradora!'}),0.15894392072755084,0.3378555871448285,0.11149350757311254,0.7014644351464434,2.0762256473969356,1.0,0.05779341591260477,2.2179749778890807,0.6163165522362454,0.2893635382955771,0.5491382860632033,0.515733939929405
frozenset({'Accel World'}),frozenset({'Shingeki no Kyojin'}),0.1406553942840042,0.4055730127853426,0.0986416612632384,0.7013002364066193,1.7291590275948565,1.0,0.04159562923896456,1.9900484019928772,0.4907044151009036,0.2203855726013149,0.4974996593054829,0.4722578906063596
frozenset({'Kiseijuu: Sei no Kakuritsu'}),frozenset({'Tokyo Ghoul'}),0.16315028180956656,0.2375845844348014,0.11436979400468851,0.7010088657902782,2.9505654479137764,1.0,0.07560780210054191,2.549959943061109,0.7899649096759336,0.39938457965629354,0.6078369769214703,0.5911972250574904
frozenset({'Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.'}),frozenset({'Angel Beats!'}),0.23841588109132625,0.3772257967978453,0.16700749829584186,0.7004881450488145,1.8569465582551477,1.0,0.07707087758190598,2.0792973396784395,0.6059495320373924,0.37225763415357244,0.5190683021050522,0.5716068474373607
frozenset({'Boku wa Tomodachi ga Sukunai'}),frozenset({'Toradora!'}),0.17013317372437528,0.3378555871448285,0.11900842934809716,0.6995016124303723,2.0704159973844596,1.0,0.061527986046635244,2.2034874070721853,0.6229978849455096,0.3059497349974355,0.5461739437264502,0.5258740284975542
frozenset({'Toki wo Kakeru Shoujo'}),frozenset({'Death Note'}),0.18300164596737992,0.5460787736711723,0.12777029610786905,0.6981920595984373,1.2785555734104799,1.0,0.027836981698196192,1.5040069049372082,0.26666809659652857,0.2124865208615589,0.33510943552366895,0.4660849169966612
frozenset({'Guilty Crown'}),frozenset({'Shingeki no Kyojin'}),0.1907160789399305,0.4055730127853426,0.1329575872445841,0.697149333100863,1.7189243641066494,1.0,0.055608292522309255,1.9627725878927276,0.5168035910787606,0.28695995406918323,0.49051662624164705,0.5124879239087983
frozenset({'Chuunibyou demo Koi ga Shitai!'}),frozenset({'Toradora!'}),0.18873759289740136,0.3378555871448285,0.13154438292849185,0.696969696969697,2.0629219213442433,1.0,0.0677783326638387,2.1850765624220663,0.6351220946551009,0.3329826185766592,0.5423501321658306,0.543160307369746
frozenset({'Btooom!'}),frozenset({'Angel Beats!'}),0.16049013250868704,0.3772257967978453,0.11182602623572248,0.6967782036672537,1.8471117552987928,1.0,0.051285008121941235,2.053856981042159,0.5462880884938873,0.26257026858213617,0.513111180948644,0.49661070701675525
frozenset({'Kimi ni Todoke'}),frozenset({'Toradora!'}),0.1537067517914443,0.3378555871448285,0.10705438342726986,0.6964845862628448,2.061486069088693,1.0,0.05512369855264703,2.18158414000216,0.6084333605450788,0.2784191637480002,0.5416174963579403,0.5066744569028904
frozenset({'Byousoku 5 Centimeter'}),frozenset({'Death Note'}),0.1951219512195122,0.5460787736711723,0.1357008662111161,0.69546693933197,1.2735652306287106,1.0,0.02914891037283858,1.4905482686611982,0.26687606275942466,0.22411378675965843,0.32910592630576513,0.4719837360687861
frozenset({'Full Metal Panic!'}),frozenset({'Death Note'}),0.15465442997988263,0.5460787736711723,0.10755316142118476,0.6954418404644161,1.273519268637943,1.0,0.023099659954956275,1.4904254314545549,0.2540669213707724,0.18131621727675318,0.32905063286254627,0.44619861851200715
frozenset({'Tonari no Kaibutsu-kun'}),frozenset({'Shingeki no Kyojin'}),0.17242755249638386,0.4055730127853426,0.1198896038040135,0.6953042136727413,1.7143749503883894,1.0,0.04995764185085229,1.9508867988617762,0.5035172828745113,0.26170428975829285,0.48741259585977037,0.49545484521466043
frozenset({'Fate/stay night'}),frozenset({'Code Geass: Hangyaku no Lelouch'}),0.19532146241707815,0.39218913661529253,0.1356842402779856,0.6946714334354783,1.7712663829260975,1.0,0.0590812845701954,1.9906780103271653,0.5411256295722726,0.3003017368266117,0.49765858927850853,0.520318886839406
frozenset({'Zero no Tsukaima: Futatsuki no Kishi'}),frozenset({'Toradora!'}),0.1541556519859677,0.3378555871448285,0.10697125376161737,0.6939171699741157,2.0538869161179636,1.0,0.054888905448204406,2.1632850584894823,0.6066343984926515,0.27781855865970034,0.5377400698647401,0.5052677233168644
frozenset({'Kami nomi zo Shiru Sekai'}),frozenset({'Sword Art Online'}),0.15894392072755084,0.3967280163599182,0.11018005885580329,0.6932008368200837,1.747294892809386,1.0,0.04712255247309395,1.966341685509438,0.5085115859770083,0.24732226161597312,0.4914413871356642,0.4854613688752166
frozenset({'Mirai Nikki (TV)'}),frozenset({'Shingeki no Kyojin'}),0.2933147122882272,0.4055730127853426,0.20318552878780322,0.6927219136152363,1.7080079092488158,1.0,0.08422499723080097,1.9344919587605578,0.5865731531500296,0.40989434848230755,0.4830684121113085,0.5968528810512845
frozenset({'Highschool of the Dead'}),frozenset({'Death Note'}),0.2931484529569222,0.5460787736711723,0.20305252132275925,0.6926610707803993,1.2684270185485973,1.0,0.04297037362844183,1.4769402219283798,0.2993867187809575,0.3191772945849885,0.3229245265632069,0.5322492444783409
frozenset({'Bakemonogatari'}),frozenset({'Angel Beats!'}),0.2244999750611003,0.3772257967978453,0.15543584883701597,0.6923646597052506,1.8354117496272073,1.0,0.07074866686349601,2.0243909643328584,0.586928576989217,0.3482844689490742,0.5060242721792864,0.5522072758617046
frozenset({'Vampire Knight'}),frozenset({'Death Note'}),0.17616838745074567,0.5460787736711723,0.12190134171280363,0.6919592298980748,1.267141781113701,1.0,0.0256995247340725,1.4735751575307166,0.25590463574024036,0.20305187072475006,0.32137835325908376,0.4575947770741706
frozenset({'Log Horizon'}),frozenset({'Angel Beats!'}),0.15289208106804994,0.3772257967978453,0.10570768284369961,0.6913875598086124,1.8328215240781265,1.0,0.04803284573872371,2.017981526655044,0.5364052537348626,0.24906961256708582,0.5044553248921089,0.4858057284256161
frozenset({'Clannad: After Story'}),frozenset({'Angel Beats!'}),0.2516002460638103,0.3772257967978453,0.17394051241125907,0.6913368135862024,1.832686999284645,1.0,0.07903040911530429,2.017649757451982,0.6070994633611597,0.38238304093567244,0.5043738407488203,0.5762206567820827
frozenset({'Fate/Zero 2nd Season'}),frozenset({'Sword Art Online'}),0.17036593678820225,0.3967280163599182,0.1177448584301794,0.6911291109593052,1.7420728621603103,1.0,0.0501559182728967,1.9531526118040814,0.5134446809461906,0.262034262034262,0.4880072381664415,0.4939594930372756
frozenset({'Ao no Exorcist'}),frozenset({'Death Note'}),0.2835552895406255,0.5460787736711723,0.19588674414351506,0.6908238053356787,1.2650625489275404,1.0,0.041043219363196104,1.4681635719776513,0.2924513903158847,0.3090928170418175,0.318876984086333,0.5247694913419145
frozenset({'Death Parade'}),frozenset({'Tokyo Ghoul'}),0.14524415182802133,0.2375845844348014,0.10033750644254909,0.6908195970695972,2.9076785377848187,1.0,0.06582973498890343,2.465924128240495,0.7675677549398557,0.3551880407274439,0.594472519025341,0.5565714500393473
frozenset({'Akame ga Kill!'}),frozenset({'Death Note'}),0.17029943305568024,0.5460787736711723,0.11762847689826592,0.6907156106609392,1.2648644187676514,1.0,0.02463157133832415,1.4676499751534668,0.25238193019643657,0.1964568350317941,0.31863862846764013,0.4530606520346864
frozenset({'Fairy Tail'}),frozenset({'Death Note'}),0.16700749829584186,0.5460787736711723,0.11528422032686585,0.6902936784469885,1.2640917606196078,1.0,0.024084970463582128,1.4656505041700656,0.2508044045871832,0.19284681277116475,0.3177091010750501,0.4507032405022277
frozenset({'Tonari no Kaibutsu-kun'}),frozenset({'Toradora!'}),0.17242755249638386,0.3378555871448285,0.11902505528122766,0.6902902323787484,2.0431517448395544,1.0,0.060769443292616146,2.137951340510891,0.6169370361844334,0.30421110780605953,0.5322625070779035,0.5212929435600745
frozenset({'Full Metal Panic!'}),frozenset({'Code Geass: Hangyaku no Lelouch'}),0.15465442997988263,0.39218913661529253,0.10650572763396346,0.6886691034186196,1.7559617009334738,1.0,0.04585194026642308,1.9522985674048856,0.5092727903120375,0.24187275816499906,0.4877832639455035,0.4801181796714956
frozenset({'One Punch Man'}),frozenset({'Sword Art Online'}),0.18617719919530484,0.3967280163599182,0.12820257036926197,0.6886051080550097,1.735710813602576,1.0,0.054340859441063316,1.9373213859482745,0.5208347073166985,0.28194815166916526,0.483823382504745,0.5058774429722706
frozenset({'Fate/Zero'}),frozenset({'Code Geass: Hangyaku no Lelouch'}),0.19987696809483432,0.39218913661529253,0.13759622258799276,0.6884045915820995,1.7552872512564561,1.0,0.05920664704159731,1.9506412705848784,0.5377831413632284,0.3027620267056887,0.4873480762046212,0.5196230427493778
